VMAF Score,Filename
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_left_top_start_0_0.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_left__start_0_224.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_left__start_0_448.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_left_bottom_start_0_672.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_top_start_1120_0.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0__start_1120_224.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0__start_1120_448.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_bottom_start_1120_672.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_top_start_1344_0.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0__start_1344_224.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0__start_1344_448.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_bottom_start_1344_672.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_right_top_start_1568_0.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_right__start_1568_224.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_right__start_1568_448.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_right_bottom_start_1568_672.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_top_start_224_0.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0__start_224_224.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0__start_224_448.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_bottom_start_224_672.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_top_start_448_0.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0__start_448_224.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0__start_448_448.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_bottom_start_448_672.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0_top_start_672_0.png
97.427361,/Users/kajsalidin/Desktop/nr-vqa-vmaf/images_TEST_comp_crop_png/TEST_1_compressed_23_agent-cody-banks.mp4_frame0__start_672_224.png
